'Type',32GB eMMC   2048MB DDR3 SDRAM,64-bit,Accessories Included,Accessories Included: Electronics Product,Age,Aspect Ratio,Audio,Audio-out Ports (#),Average Battery Life (in hours),Backlight Technology,Backlit Keyboard,Band Color,Band Material,Bandwidth,Batteries,Batteries:,Battery,Battery Charge Life,Battery Chemistry,Battery Life,Battery Type,Bluetooth,Bluetooth Compatible,Bluetooth Standard,Brand,Brand Name,Built-In Microphone,Built-In Webcam,Bundled Items,Bundled items,Bus Speed,C.O.A.,CD/DVD Drive,CD/DVD/Optical Drive,CPU,Cache,Camera,Capacity,Capacity:,Capacité de stockage,Carrier,Case Color,Case Material,Color,Colour,Compatible CPU Brand,Compatible brand,Compatible model,Compatible product line,Computer Memory Type,Connectivity,Connectivity Technology,Contract,Country of Manufacture,Country of Origin,Country//Region of Manufacture,Country/Region of Manufacture,DVD Drive,DVD+RW,DVD/CD Drive,DVI,Dell Warranty Expiration,Depth,Description1,Device Supported,Dimensions (WxDxH),Display,Display Resolution,Display Screen Technology,Display Screen Type,Display Size,Display Technology,Display Type,Display resolution,DisplayPort,Drive,Drive Type,Dye Sub Type,EAN,Ethernet Technology,Evecase 13.3-Inch Ultra-Slim,Face Color,Factory Warranty,Family Line,Feature,Features,Features: Audio Product,Features: Electronic Display,Finger Print Reader,Fingerprint Reader,Flash Memory,Flash Memory Capacity,Flash Memory Size,Focus Modes,Form Factor,Form Factor Type,Frequency,Frequency Band(s),Front Camera/Webcam,Gender,Gr,Graphic Card,Graphic processing type,Graphics Card,Graphics Controller,Graphics Controller Manufacturer,Graphics Controller Model,Graphics Coprocessor,Graphics Memory Accessibility,Graphics Memory Capacity,Graphics Memory Technology,Graphics Processing Type,HDMI,HDTV,Hard Drive,Hard Drive Capacity,Hard Drive Interface,Hard Drive Rotational Speed,Hard Drive Size,Hard Drive__Capacity,Hardware Connectivity,Hardware Platform,Height,Host Interface,Hybrid Hard Drive Capacity,ISBN,Image Sensor,Included / Unit Damage,Includes,Input Type,Input Voltage,Input//Output Ports,Intel Processor Generation,Interchange Part Number,Internet Connectivity,Item,Item Dimensions,Item Dimensions L x W x H,Item Type: Electronics,Item Weight,Keyboard,Keyboard Layout,Keyboard Localization,LCD Display (In.),LCD Resolution,Laptop Packaging,MOUSE PAD PURCHASED FROM,MPN,MSRP,Manufacture Warranty,Manufacturer,Manufacturer Part Number,Manufacturer SKU,Manufacturer Warranty,Manufacturer warranty,Manufacturer's Warranty,Marque,Maximum Battery Run Time,Maximum Memory,Maximum Resolution,Media,Memory,Memory (RAM),Memory (RAM) Max,Memory (RAM) Type,Memory Capacity,Memory Card,Memory Card Supported,Memory Size,Memory Speed,Memory Technology,Memory Type,Memory Upgrade,Microphone Jack,Mode,Model,Model Number,Movement,Mémoire RAM,Network (RJ-45),Number of Cells,Number of Memory Slots,Number of Total Memory Slots,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Numerical Keypad,OS,Ohters,Operating,Operating System,Operating System Architecture,Operating System Edition,Operating System Platform,Optical Drive,Optical Drive Type,Optical Media Supported,Optical Storage,Other Part Number,Output Type,PN,PURCHASED AT FRY'S ELECTRONICS,Package Quantity,Packs,Part Brand,Pattern Name,Platform,Pointing Device,Pointing Device Type,Port,Ports,Ports:,Power Source,Primary Drive,Primary Drive or Optical Drive,Printer Compatibility,Processor,Processor Brand,Processor Cache Memory,Processor Configuration,Processor Core,Processor Core Type,Processor Cores,Processor Count,Processor Manufacturer,Processor Model,Processor Speed,Processor Speed (GHz),Processor Speed (per Core),Processor Threads,Processor TurboBoost Speed (GHz),Processor Type,Product Depth,Product Dimensions,Product Family,Product Height,Product Line,Product Model,Product Name,Product Series,Product Type,Product Weight,Product Width,Quantity,RAM,RAM (memory),RAM Memory,Random Access Memory (RAM),Release Year,Removable Media Compatibility,Removable Media Slot,Resolution,SKU,SSD (Solid State Flash Drive),Screen,Screen Resolution,Screen Size,Screen Type,Screen resolution,Screen type,ScreenSize,Seller Warranty,Seller Warranty Coverage,Serial #,Series,Shipping Weight,Size,Size Type,Software Included,Solid State Drive Capacity,Sound,Special Features,Standard Memory,Storage,Storage Capacity,Style,Support standard,System Memory,System Memory (RAM),System Ram,Système d'exploitation,Taille de l'écran,Targeted Audience,Title,Total Number of USB Ports,Touch Screen,TouchScreen,Touchscreen,Type,Type de processeur,UPC,URL,USB 3.0,USB Interface,USB Ports,Unit Quantity,Unit Type,VGA,Video,Video Memory,Video Port,Video Ports,Visual Playback File Format,Vitesse du processeur,WIRELESS MOUSE PURCHASED FROM,Warranty,Warranty - Labor,Warranty - Parts,Warranty Description,Web Cam,Webcam,Weight,Weight (Approximate),Weight (lbs.),Wi-Fi,Width,Wireless,Wireless Connectivity,Wireless LAN,Wireless LAN Standard,Wireless Mouse included,Wireless Network,Wireless Networking,Wireless Standard,Wireless Technology,Wireless Type,Year,brand new,dealEndTime,eSATA,image,item,itemId,model number,mpn,new,price,quick shipping,sellerFeedback,sleeve included,title
,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated/On-Board Graphics,,,,256GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3W32UA,,,,,,,,,,,,,,4GB,,,,,,,,,,,,,,EliteBook 840 G1,,,,,,,,,,,,,,Windows 7,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9GHz,,,,,Intel Core i5 4th Gen.,,,,,EliteBook,,,,,,,,,,,,,,,,,,,,"14""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notebook,,,http://www.ebay.com/itm/Brand-New-HP-EliteBook-840-G2-14-256-GB-Intel-Core-i5-4th-Gen-2-3-GHz-8-GB-/282017301314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-06T00:02:25.000Z,,"['http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/3yAAAOSwbwlXBxmB/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/6ZEAAOSw0QFXBxlz/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/qjQAAOSwsN9XBxmQ/$_1.JPG?set_id=880000500F']",,2.82E+11,,,,800,,0,,"Brand New-HP EliteBook 840 G2 14""(256 GB, Intel Core i5 4th Gen., 2.3 GHz, 8 GB)"
,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated/On-Board Graphics,,,,12GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8GB,,,,,,,,,,,,,,X1 Carbon,,,,,,,,,,,,,,Windows 7,,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinkPad,,,,,,,,,,,,2014,,,,,,,,"15""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultrabook,,,http://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-New-And-Lenovo-USB-3-0-Dock-and-3M-Privacy-Filter-/322071433954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-11T21:30:50.000Z,,"['http://i.ebayimg.com/00/s/NTI4WDk0MA==/z/HSoAAOSwJblW~wuz/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/NDc1WDg0NQ==/z/UbAAAOSwGYVW~wu5/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/NDc1WDg0NQ==/z/CQwAAOSw9KpW~wvB/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/NTI5WDk0MA==/z/v1YAAOSwZ8ZW~wvQ/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/MTA1NVgxMTM1/z/Rx8AAOSwz2lXDBcB/$_1.JPG?set_id=880000500F']",,3.22E+11,,,,800,,100,,"Lenovo Thinkpad X1 Carbon (New) And Lenovo USB 3.0 Dock, and 3M Privacy Filter"
,,,,,,,,,,,,,,,,,,,,,,,,,Fujitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated/On-Board Graphics,,,,160 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1M253E808931002,,,,,,,,,,,,,,3 GB,,,,,,,,,,,,,,T5010,,,,,,,,,,,,,,Windows 7,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40 GHz,,,,,Intel Core 2 Duo,,,,,Lifebook,,,,,,,,,,,,,,,,,,,,"13.3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet/Laptop Convertible,,,http://www.ebay.com/itm/Fujitsu-T5010-13-3-Tablet-Laptop-Windows-7-Pro-Intel-Core2Duo-3GB-RAM-160GB-HDD-/251662447540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-21T21:01:10.000Z,,http://i.ebayimg.com/00/s/NTAwWDUwMA==/z/YnsAAOSw-jhUKcr9/$_1.JPG?set_id=8800005007,,2.52E+11,,,,800,,99,,"Fujitsu T5010 13.3"" Tablet Laptop Windows 7 Pro Intel Core2Duo 3GB RAM 160GB HDD"
,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated/On-Board Graphics,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GB,,,,,,,,,,,,,,x2 1012 G1,,,,,,,,,,,,,,Windows 10,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10GHz,,,,,Intel Core M,,,,,,,,,,,,,,,,,,,,,,,,,12in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ebay.com/itm/HP-Elite-x2-1012-G1-T8Z04UT-ABA-Intel-m5-4GB-128GB-SSD-Win-10-Tablet-/152063263718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-22T01:00:36.000Z,,"['http://i.ebayimg.com/00/s/NDMwWDU3Mw==/z/nxMAAOSwubRXGTnO/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/NDMwWDU3Mw==/z/9ZsAAOSwYmZXGTnQ/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/NDMwWDU3Mw==/z/QcwAAOSwkEVXGTnR/$_1.JPG?set_id=880000500F', 'http://i.ebayimg.com/00/s/NDMwWDU3Mw==/z/XTUAAOSwiYFXGTnT/$_1.JPG?set_id=880000500F']",,1.52E+11,,,,800,,100,,"HP Elite x2 1012 G1 (T8Z04UT#ABA) Intel m5,  4GB, 128GB SSD, Win 10 Tablet"
,,,,,,,,,,,,,,,,,,,,,,,,,Dell,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GB,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,Windows 8,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66GHz,,,,,"AMD Athlon 64, 64 M",,,,,Inspiron,,,,,,,,,,,,2015,,,,,,,,"15""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notebook,,,http://www.ebay.com/itm/Fully-Loaded-Dell-Laptop-Producers-/271969039026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-23T04:12:50.000Z,,http://i.ebayimg.com/00/s/NDU1WDYxOQ==/z/xiQAAOSwu4BV3owu/$_1.JPG?set_id=880000500F,,2.72E+11,,,,800,,100,,Fully Loaded  Dell Laptop for Producers
,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated/On-Board Graphics,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20AQ005NUS,,,,,,,,,,,,,,4 GB,,,,,,,,,,,,,,ThinkPad T440s,,,,,,,,,,,,,,Windows 7 Pro,,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 GHz,,,,,Intel Core i5,,,,,ThinkPad,,,,,,,,,,,,,,,,,,,,"14""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultrabook,,,http://www.ebay.com/itm/Lenovo-ThinkPad-T440s-14-500-GB-Intel-Core-i5-4th-Gen-1-6-GHz-4-GB-/172076656892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-24T19:45:50.000Z,,http://i.ebayimg.com/00/s/MTI3NlgxNjAw/z/ijwAAOSwKtlWpnp9/$_1.JPG?set_id=880000500F,,1.72E+11,,,,800,,99,,"Lenovo ThinkPad T440s 14"" (500 GB, Intel Core i5 4th Gen., 1.6 GHz, 4 GB)..."
,,,,,,,,,,,,,,,,,,,,,,,,,Apple,,,,,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,128MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac OS X 10.10, Yosemite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7 GHz dual-core Intel Core i5,,,MacBook Pro,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ebay.com/itm/MacBook-Pro-/301944909716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-31T01:41:58.000Z,,http://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/o44AAOSw~oFXJDAk/$_1.JPG?set_id=880000500F,,3.02E+11,,,,800,,0,,MacBook Pro
,,,,,,,,,,,,,,,,,,,,,,,,,Sony,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT11213CXB,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAIO Tap 11,,,,,,,,,,,,,,Windows 8,,Home Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel Pentium 3560Y,,,,,Vaio,,,,,,,,,,,,2014,,,,,,,,"11.6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablet/Laptop Convertible,,,http://www.ebay.com/itm/NEW-Sony-VAIO-2-in-1-11-6-Touch-Screen-Tablet-Laptop-SVT11213CXB-SSD-Windows-8-/281914133597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-19T00:52:26.000Z,,http://i.ebayimg.com/00/s/NTAwWDUwMA==/z/0yUAAOSwgkRVSsGP/$_1.JPG?set_id=8800005007,,2.82E+11,,,,800.1,,99.8,,"NEW Sony VAIO 2-in-1 11.6"" Touch Screen Tablet Laptop SVT11213CXB SSD Windows 8"
,,,,,,,,,,,,,,,,,,,,,,,,,Dell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i5559-7081SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84E+11,http://www.ebay.com/itm/Dell-Inspiron-15-5000-15-5559-15-6-Touchscreen-TrueLife-Notebook-Intel-C-/182091708799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-13T13:12:30.000Z,,http://i.ebayimg.com/00/s/NDAwWDQwMA==/z/lEMAAOSw2GlXDkXB/$_1.JPG?set_id=8800005007,,1.82E+11,,,,800.55,,99.7,,"Dell Inspiron 15 5000 15 5559 15.6"" Touchscreen (TrueLife) Notebook - Intel C..."
,,,,,,,,,,,,,,,,,,,,,,,,,Dell Consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i7359-4371SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84E+11,http://www.ebay.com/itm/Dell-Inspiron-13-7000-13-7359-Tablet-PC-13-3-TrueLife-In-plane-Switching-/151992493767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-23T01:20:17.000Z,,http://i.ebayimg.com/00/s/NDAwWDQwMA==/z/q1sAAOSwB4NWy7P9/$_1.JPG?set_id=8800005007,,1.52E+11,,,,800.66,,99.2,,"Dell Inspiron 13 7000 13-7359 Tablet PC - 13.3"" - TrueLife, In-plane Switching ("
