,upc
917,889296684169
918,725184109959
919,888793463055
920,889894582942
921,884116168485
922,888793668979
923,887276852232
924,889894218483
925,888631981505
926,884116191667
927,611343096638
928,884116168218
929,889661079033
930,884116216087
931,884116216070
932,888863594849
933,886227942435
934,725184043987
935,884116168379
936,22265810156
937,786919873118
938,884116144786
939,889296745778
940,819730017840
941,845226020353
942,702706436885
943,888863594863
944,884116147930
945,886227884520
946,889233249451
947,685450869973
948,685450869942
949,685450869928
950,685450869959
951,884116220428
952,887758721506
953,889899608784
954,884116164906
955,618996990313
956,889561983942
957,889894519795
958,884116216100
959,884116145929
960,725184042447
961,725184032684
962,22265732601
963,889661118374
964,884116148647
965,887899778247
966,22265878248
967,889296163176
968,889349310250
969,641676242181
970,641676236326
971,886227684236
972,889894276988
973,22265507254
974,889349366080
975,190151270428
976,889894347213
977,889296306719
978,887111042750
979,888793689127
980,884116149057
981,889800929267
982,22265324691
983,889296731092
984,886227779765
985,888863027903
986,22265805008
987,889661080428
988,888738938419
989,786919872517
990,888863394722
991,889296622925
992,886227753390
993,12300499927
994,795962336099
995,889894592644
996,889894470898
997,22265306864
998,641022236925
999,700038668523
1000,884116190905
1001,190404433297
1002,888863537600
1003,741271364223
1004,889661060956
1005,888182262283
1006,888793355671
1007,888793599853
1008,888863098170
1009,889894184047
1010,889955322845
1011,889894221865
1012,884116148999
1013,889661013495
1014,886227825837
1015,884116166955
1016,22265805695
1017,888863509294
1018,888965259875
1019,887899989902
1020,887899756030
1021,886227835324
1022,400031370330
1023,889899415092
1024,741271363639
1025,889894908377
1026,190404094627
1027,888182442128
1028,888863063017
1029,887899261404
1030,889349194829
1031,12300324823
1032,12300269155
1033,889233661901
1034,888863628629
1035,888863628612
1036,889349186657
1037,889894956682
1038,889349168257
1039,22265911815
1040,22265997727
1041,888631223773
1042,889349201787
1043,889894368508
1044,888863258536
1045,884116216209
1046,889955937469
1047,889894118769
1048,888772370534
1049,888793461419
1050,889661127536
1051,884116190882
1052,886541400567
1053,888772489793
1054,887899854286
1055,884116147923
1056,889661074021
1057,700038672957
1058,884116216056
1059,889955545022
1060,889296196280
1061,886227564293
1062,884116191698
1063,889296449454
1064,889661083269
1065,190576209089
1066,886541702838
1067,81258015848
1068,884116220787
1069,888793998649
1070,888863258543
1071,889800480508
1072,889894956675
1073,884116220503
1074,888863461523
1075,889296765936
1076,889894761217
1077,781491645481
1078,889894470881
1079,618996990214
1080,887899959424
1081,889894178022
1082,889894178008
1083,888793816653
1084,888793057513
1085,888793254509
1086,889894218469
1087,889955902306
1088,786919873125
1089,889894143907
1090,22265805138
1091,884116206026
1092,889894141736
1093,889296378914
1094,889894119438
1095,889349338568
1096,8346043019
1097,741271363981
1098,222658124024
1099,889894177995
1100,884116191674
1101,889296832485
1102,886227801626
1103,887899981531
1104,889296684152
1105,889894510334
1106,889661026914
1107,717356403521
1108,886389100544
1109,889296961499
1110,889661015352
1111,889894178053
1112,888793414354
1113,889894470874
1114,889296019176
1115,888863142767
1116,888863472147
1117,889296313953
1118,887899803611
1119,887758025406
1120,22265947944
1121,884116190943
1122,793889064972
1123,889349139639
1124,889661028345
1125,889894118356
1126,884116086147
1127,888772139193
1128,889899001653
1129,854033975084
1130,888965836977
1131,888965841872
1132,889894017352
1133,889894368270
1134,889661064121
1135,887899952289
1136,888965807205
1137,22265930595
1138,886227742585
1139,889349167021
1140,884116169000
1141,889349202128
1142,886227861798
1143,889894331403
1144,884116168997
1145,766653301412
1146,887899646638
1147,886227901012
1148,888793568033
1149,884116196433
1150,888793929490
1151,887899959417
1152,888793016497
1153,22265930588
1154,889800070341
1155,889955545336
1156,889233327807
1157,819730017772
1158,889661014690
1159,889894543158
1160,889349071076
1161,889894995742
1162,884116200314
1163,889233828854
1164,889894178060
1165,889894178046
1166,889894178091
1167,888863096848
1168,886389110222
1169,22265584552
1170,710500995293
1171,884116148746
1172,884116061625
1173,884116190554
1174,889296552963
1175,889800007484
1176,22265893371
1177,889894660824
1178,888182686652
1179,886227748853
1180,884116154907
1181,888793662151
1182,889894313607
1183,766653301221
1184,636173545859
1185,807404544433
1186,766653301580
1187,889296736875
1188,887899574139
1189,888793798317
1190,887899758775
1191,741271363745
1192,889661033318
1193,22265892381
1194,888863394746
1195,889661079781
1196,884116232209
1197,741271363783
1198,400096381289
1199,889349112427
1200,888182660621
1201,889899599327
1202,887758232996
1203,726419826757
1204,36725737105
1205,889661064114
1206,886227827046
1207,884116189916
1208,886227654109
1209,889296686019
1210,884116164708
1211,889349303405
1212,889233225899
1213,888863475490
1214,641676234650
1215,766653301481
1216,190151753280
1217,889955090805
1218,889296069874
1219,884116205838
1220,889955715524
1221,889233301852
1222,888631850030
1223,889894685759
1224,888793058886
1225,884116167433
1226,889894928412
1227,888182369616
1228,804904095250
1229,889349184707
1230,190404641937
1231,889800996221
1232,888772469528
1233,888863185498
1234,889296234388
1235,636156033182
1236,886227971879
1237,884116190950
1238,889296574873
1239,717109879184
1240,641676238252
1241,889661040705
1242,889899180228
1243,766653301214
1244,887276116365
1245,889894442710
1246,889233082706
1247,888182266250
1248,884116183372
1249,825633349018
1250,889800101311
1251,887758940525
1252,889296307433
1253,887899424120
1254,889349171639
1255,884116168010
1256,889661014959
1257,884116203544
1258,889296312659
1259,888793168677
1260,889661118558
1261,889894222336
1262,888793662144
1263,889661074090
1264,888440697017
1265,889661046264
1266,22265800959
1267,889894649652
1268,889894492326
1269,889296662914
1270,22265929155
1271,889616079781
1272,889233281536
1273,889233745694
1274,889296379027
1275,766653301887
1276,888863212149
1277,812177024457
1278,812177024426
1279,884116190448
1280,888863096855
1281,889894220707
1282,886227563630
1283,884116205241
1284,887899501067
1285,889349133569
1286,889899486429
1287,888863381609
1288,887899989872
1289,190576044291
1290,190151833135
1291,889955340641
1292,887899864582
1293,889955434401
1294,641676241504
1295,887899740305
1296,742230366012
1297,887111347206
1298,888793207055
1299,888793251751
1300,886227976331
1301,190151747173
1302,884116154853
1303,889233535349
1304,715407512871
1305,888182041277
1306,641676239419
1307,886227660650
1308,400096390946
1309,888182441671
1310,884116178668
1311,887168927949
1312,888965588418
1313,889349166956
1314,887899090899
1315,888182553862
1316,886227852284
1317,889661008484
1318,886227589890
1319,887899297403
1320,190404287494
1321,888863598083
1322,888863027255
1323,884116168324
1324,887899709012
1325,889894241641
1326,888793207352
1327,886227996148
1328,750253254124
1329,884116148432
1330,884116172864
1331,888228556666
1332,889955087720
1333,788679076389
1334,889296234456
1335,889296815686
1336,814930022380
1337,884116167419
1338,889800626067
1339,884116135395
1340,884323175320
1341,884116164685
1342,889899486412
1343,888631850450
1344,22265846087
1345,884116205579
1346,888182377611
1347,884116167785
1348,889661015611
1349,889955954671
1350,886227895533
1351,634746193452
1352,887758944370
1353,761645305775
1354,889661015918
1355,889349183199
1356,761645299258
1357,887899443251
1358,884116147947
1359,888631518398
1360,22265805015
1361,22265930649
1362,886227782611
1363,884116154891
1364,889894365613
1365,888793016411
1366,884116169994
1367,886227808502
1368,882956133151
1369,889296134152
1370,758479006473
1371,715407509413
1372,888863632022
1373,715407515032
1374,884116166351
1375,753759120337
1376,12302563848
1377,786919872937
1378,641676238764
1379,889894177872
1380,641676241320
1381,786919874108
1382,804067296358
1383,889661020240
1384,888863037445
1385,884116203278
1386,889894928344
1387,884116169161
1388,884116165859
1389,884116212348
1390,888793831588
1391,889661074113
1392,12302566450
1393,884116116578
1394,786919873729
1395,888863233441
1396,889661064084
1397,887899808586
1398,886227507924
1399,887899443275
1400,887899420177
1401,886227778690
1402,887899833717
1403,888965500915
1404,888793253717
1405,887899559129
1406,63362651952
1407,889233644737
1408,889894325976
1409,889894325969
1410,889894325983
1411,884116204640
1412,741271364247
1413,96633379538
1414,641676237668
1415,889349183137
1416,641676234711
1417,888793350157
1418,22265885918
1419,888793093894
1420,888440575414
1421,616983304198
1422,889233065792
1423,887899327698
1424,888863475483
1425,889233133415
1426,889894515063
1427,884116168737
1428,889561593851
1429,190404298209
1430,887899852015
1431,725184032875
