ASIN,CustomerReviews>HasReviews,CustomerReviews>IFrameURL,DetailPageURL,ItemAttributes>MPN,ItemAttributes>Model,ItemAttributes>UPC,LargeImage>Height,LargeImage>URL,LargeImage>Width,ListPrice>Amount,ListPrice>CurrencyCode,ListPrice>FormattedPrice,LowestNewPrice>Amount,LowestNewPrice>CurrencyCode,LowestNewPrice>FormattedPrice,MediumImage>Height,MediumImage>URL,MediumImage>Width,OfferAttributes>Condition,OfferSummary>TotalNew,Offers>MoreOffersUrl,Price>Amount,Price>CurrencyCode,Price>FormattedPrice,SalesRank,SmallImage>Height,SmallImage>URL,SmallImage>Width,UPC,UPCList>UPCListElement
B013FQYMOU,false,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B013FQYMOU&atag=djaroo10-20&exp=2016-07-07T11%3A24%3A57Z&v=2&sig=cj4gEPJSxvTkwNpMpl%2FMSQ1oCPsfh%2Bbj1PHgmtRZU60%3D,http://www.amazon.com/Toshiba-Satellite-C55-C5241-Microsoft-Student/dp/B013FQYMOU%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB013FQYMOU,,,,500,http://ecx.images-amazon.com/images/I/4112RAdy3mL.jpg,500,,,,,,,160,http://ecx.images-amazon.com/images/I/4112RAdy3mL._SL160_.jpg,160,,0,0,,,,55442,75,http://ecx.images-amazon.com/images/I/4112RAdy3mL._SL75_.jpg,75,022265997727,
B00ZD8R30Y,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B00ZD8R30Y&atag=djaroo10-20&exp=2016-07-07T11%3A24%3A58Z&v=2&sig=fJxgkmNVkwq9hrrRYFVmwplFMKWB62TnE%2FsTqZxBcq0%3D,http://www.amazon.com/Toshiba-Satellite-S55-C5262-15-6-Inch-Laptop/dp/B00ZD8R30Y%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00ZD8R30Y,S55-C5262,S55-C5262,889661015048,449,http://ecx.images-amazon.com/images/I/51CYicy5UJL.jpg,500,97999,USD,$979.99,108900,USD,"$1,089.00",144,http://ecx.images-amazon.com/images/I/51CYicy5UJL._SL160_.jpg,160,,2,0,,,,8692,67,http://ecx.images-amazon.com/images/I/51CYicy5UJL._SL75_.jpg,75,889661015048,889661015048
B019TTJ5RQ,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B019TTJ5RQ&atag=djaroo10-20&exp=2016-07-07T11%3A24%3A58Z&v=2&sig=cbji991F8b7foHi2YXMCTGi2AmYeJBCIDcYbr%2BMpJNg%3D,http://www.amazon.com/Dell-Inspiron-i5559-4415SLV-Touchscreen-Laptop/dp/B019TTJ5RQ%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB019TTJ5RQ,i5559-4415SLV,i5559-4415SLV,884116205579,500,http://ecx.images-amazon.com/images/I/41KtISmUmML.jpg,500,67999,USD,$679.99,53998,USD,$539.98,160,http://ecx.images-amazon.com/images/I/41KtISmUmML._SL160_.jpg,160,New,41,http://www.amazon.com/gp/offer-listing/B019TTJ5RQ%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB019TTJ5RQ,53998,USD,$539.98,829,75,http://ecx.images-amazon.com/images/I/41KtISmUmML._SL75_.jpg,75,884116205579,884116205579
B01DT4A2K6,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B01DT4A2K6&atag=djaroo10-20&exp=2016-07-07T11%3A24%3A59Z&v=2&sig=2Nrq8Yb1hUittB9jEF13rv8NnBVvwb8jUZv51NFI%2BG8%3D,http://www.amazon.com/G751JY-VS71-WX-17-Inch-GeForce-Version/dp/B01DT4A2K6%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01DT4A2K6,G751JY-VS71(WX),G751JY-VS71(WX),889349361016,265,http://ecx.images-amazon.com/images/I/41HXibJZtfL.jpg,500,,,,147900,USD,"$1,479.00",85,http://ecx.images-amazon.com/images/I/41HXibJZtfL._SL160_.jpg,160,New,6,http://www.amazon.com/gp/offer-listing/B01DT4A2K6%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01DT4A2K6,149385,USD,"$1,493.85",1036,40,http://ecx.images-amazon.com/images/I/41HXibJZtfL._SL75_.jpg,75,889349361016,889349361016
B00K6ZIMFY,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B00K6ZIMFY&atag=djaroo10-20&exp=2016-07-07T11%3A24%3A59Z&v=2&sig=mcUti61HNfRhD6xhqvBzRPqo1PmGSuWn5fC7CLp3O1E%3D,http://www.amazon.com/Lenovo-15-6-Inch-Laptop-59425943-Black/dp/B00K6ZIMFY%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00K6ZIMFY,59425943,59425943,888772456290,458,http://ecx.images-amazon.com/images/I/51KWtM1fnJL.jpg,500,,,,125999,USD,"$1,259.99",147,http://ecx.images-amazon.com/images/I/51KWtM1fnJL._SL160_.jpg,160,New,3,http://www.amazon.com/gp/offer-listing/B00K6ZIMFY%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB00K6ZIMFY,125999,USD,"$1,259.99",14691,69,http://ecx.images-amazon.com/images/I/51KWtM1fnJL._SL75_.jpg,75,888772456290,888772456290
B00XZGUL8W,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B00XZGUL8W&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A05Z&v=2&sig=OynXJ%2BsR3zV5mc6oGVjip25WlvmX7iX%2Fel%2Bg%2Bo4xYHk%3D,http://www.amazon.com/Apple-MacBook-MJLT2LL-15-4-Inch-Display/dp/B00XZGUL8W%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00XZGUL8W,MJLT2LL/A,MJLT2LL/A,888462101110,389,http://ecx.images-amazon.com/images/I/4173h2y9QhL.jpg,500,,,,229900,USD,"$2,299.00",124,http://ecx.images-amazon.com/images/I/4173h2y9QhL._SL160_.jpg,160,New,2,http://www.amazon.com/gp/offer-listing/B00XZGUL8W%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB00XZGUL8W,229900,USD,"$2,299.00",345,58,http://ecx.images-amazon.com/images/I/4173h2y9QhL._SL75_.jpg,75,888462101110,"['888462101110', '636173543862', '816326020239', '808791035108', '088778987419']"
B01BA5I7PS,false,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B01BA5I7PS&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A05Z&v=2&sig=yGvfLIlfX0lHkU49Xtv0TJwS6nEHd1PaK9sv2An3J%2FU%3D,http://www.amazon.com/HP-Workstation-Notebook-NVIDIA-Graphics/dp/B01BA5I7PS%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01BA5I7PS,V1Q07UT#ABA,V1Q07UT#ABA,889899041536,,,,,,,259555,USD,"$2,595.55",,,,New,31,http://www.amazon.com/gp/offer-listing/B01BA5I7PS%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01BA5I7PS,260999,USD,"$2,609.99",49060,,,,889899041536,889899041536
B0150PK892,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B0150PK892&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A06Z&v=2&sig=4VAJ8t0ApN8TijnRfPFyLvEmgWJ8k3C9JkK%2B0VVRGCM%3D,http://www.amazon.com/MSI-GE72-Apache-Pro-029-i7-6700HQ/dp/B0150PK892%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0150PK892,GE72 Apache Pro-029,GE72 Apache Pro-029,824142121801,375,http://ecx.images-amazon.com/images/I/41wWtvVDClL.jpg,500,,,,124999,USD,"$1,249.99",120,http://ecx.images-amazon.com/images/I/41wWtvVDClL._SL160_.jpg,160,New,62,http://www.amazon.com/gp/offer-listing/B0150PK892%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB0150PK892,124999,USD,"$1,249.99",2178,56,http://ecx.images-amazon.com/images/I/41wWtvVDClL._SL75_.jpg,75,824142121801,824142121801
B018AX3OHO,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B018AX3OHO&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A07Z&v=2&sig=HbBp79hFQdWp54IW55MX8877ySsDcT8nlwVYEXkQLYo%3D,http://www.amazon.com/Asus-UX501VW-DS71T-ASUS-15-6-Laptop/dp/B018AX3OHO%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB018AX3OHO,UX501VW-DS71T,UX501VW-DS71T,889349251362,500,http://ecx.images-amazon.com/images/I/41O%2BamZyqlL.jpg,500,,,,137999,USD,"$1,379.99",160,http://ecx.images-amazon.com/images/I/41O%2BamZyqlL._SL160_.jpg,160,New,52,http://www.amazon.com/gp/offer-listing/B018AX3OHO%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB018AX3OHO,139800,USD,"$1,398.00",1205,75,http://ecx.images-amazon.com/images/I/41O%2BamZyqlL._SL75_.jpg,75,889349251362,"['889349251362', '787468126472', '788581298145']"
B015ZG997I,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B015ZG997I&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A07Z&v=2&sig=QkF4A2PoSWizFA4hRWXhzagKlH1stI46rxbKzOxpOn8%3D,http://www.amazon.com/GL552VW-DH74-15-Inch-Discrete-GeForce-Metallic/dp/B015ZG997I%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015ZG997I,GL552VW-DH74,GL552VW-DH74,889349191149,375,http://ecx.images-amazon.com/images/I/41lRcz0BkXL.jpg,500,,,,,,Too low to display,120,http://ecx.images-amazon.com/images/I/41lRcz0BkXL._SL160_.jpg,160,New,58,http://www.amazon.com/gp/offer-listing/B015ZG997I%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB015ZG997I,107698,USD,"$1,076.98",118,56,http://ecx.images-amazon.com/images/I/41lRcz0BkXL._SL75_.jpg,75,889349191149,"['889349191149', '682821644146', '682821644177']"
