UPC,amazon_UPC,amazon_image,amazon_link,amazon_price,amazon_sales_rank
022265997727,,http://ecx.images-amazon.com/images/I/4112RAdy3mL.jpg,http://www.amazon.com/Toshiba-Satellite-C55-C5241-Microsoft-Student/dp/B013FQYMOU%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB013FQYMOU,-1,55442
889661015048,889661015048,http://ecx.images-amazon.com/images/I/51CYicy5UJL.jpg,http://www.amazon.com/Toshiba-Satellite-S55-C5262-15-6-Inch-Laptop/dp/B00ZD8R30Y%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00ZD8R30Y,1089.0,8692
884116205579,884116205579,http://ecx.images-amazon.com/images/I/41KtISmUmML.jpg,http://www.amazon.com/Dell-Inspiron-i5559-4415SLV-Touchscreen-Laptop/dp/B019TTJ5RQ%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB019TTJ5RQ,539.98,829
889349361016,889349361016,http://ecx.images-amazon.com/images/I/41HXibJZtfL.jpg,http://www.amazon.com/G751JY-VS71-WX-17-Inch-GeForce-Version/dp/B01DT4A2K6%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01DT4A2K6,1479.0,1036
888772456290,888772456290,http://ecx.images-amazon.com/images/I/51KWtM1fnJL.jpg,http://www.amazon.com/Lenovo-15-6-Inch-Laptop-59425943-Black/dp/B00K6ZIMFY%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00K6ZIMFY,1259.99,14691
888462101110,888462101110,http://ecx.images-amazon.com/images/I/4173h2y9QhL.jpg,http://www.amazon.com/Apple-MacBook-MJLT2LL-15-4-Inch-Display/dp/B00XZGUL8W%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00XZGUL8W,2299.0,345
889899041536,889899041536,,http://www.amazon.com/HP-Workstation-Notebook-NVIDIA-Graphics/dp/B01BA5I7PS%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01BA5I7PS,2595.55,49060
824142121801,824142121801,http://ecx.images-amazon.com/images/I/41wWtvVDClL.jpg,http://www.amazon.com/MSI-GE72-Apache-Pro-029-i7-6700HQ/dp/B0150PK892%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0150PK892,1249.99,2178
889349251362,889349251362,http://ecx.images-amazon.com/images/I/41O%2BamZyqlL.jpg,http://www.amazon.com/Asus-UX501VW-DS71T-ASUS-15-6-Laptop/dp/B018AX3OHO%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB018AX3OHO,1379.99,1205
889349191149,889349191149,http://ecx.images-amazon.com/images/I/41lRcz0BkXL.jpg,http://www.amazon.com/GL552VW-DH74-15-Inch-Discrete-GeForce-Metallic/dp/B015ZG997I%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015ZG997I,1076.98,118
824142126127,824142126127,http://ecx.images-amazon.com/images/I/41QUZoPFTkL.jpg,http://www.amazon.com/MSI-GS60-4K-238-i7-6700HQ-THUNDERBOLT/dp/B01AC40KSK%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01AC40KSK,1679.0,760
889349200438,889349200438,http://ecx.images-amazon.com/images/I/41WN8y6bohL.jpg,http://www.amazon.com/K501UX-15-6-inch-Gaming-Processor-Windows/dp/B0146DD02G%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0146DD02G,749.99,248
889894560643,889894560643,http://ecx.images-amazon.com/images/I/41TkfO8Jz2L.jpg,http://www.amazon.com/HP-17-s010nr-17-3-Inch-Laptop-Intel/dp/B016Z1H4ZQ%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB016Z1H4ZQ,-1,11326
884116203162,884116203162,http://ecx.images-amazon.com/images/I/41PGUKuYDhL.jpg,http://www.amazon.com/Alienware-AW17R3-7092SLV-17-3-Inch-Generation-GeForce/dp/B015P3SO22%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015P3SO22,1929.0,4891
889349109946,889349109946,http://ecx.images-amazon.com/images/I/41MW-Z2bY6L.jpg,http://www.amazon.com/Chromebook-10-1-Inch-Convertible-Touchscreen-Rockchip/dp/B00ZS4HK0Q%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00ZS4HK0Q,265.0,54
884116169161,884116169161,http://ecx.images-amazon.com/images/I/41pAf--zTEL.jpg,http://www.amazon.com/Dell-Inspiron-2-1-Touch-Screen/dp/B01CJ384EE%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01CJ384EE,682.5,203425
884116212232,884116212232,http://ecx.images-amazon.com/images/I/31MgQ4bvLZL.jpg,http://www.amazon.com/Dell-Inspiron-I3543-8750BLK-Notebook-Dual-Core/dp/B0178L9KPO%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0178L9KPO,460.38,43218
889800850318,889800850318,http://ecx.images-amazon.com/images/I/41eNK2MrwGL.jpg,http://www.amazon.com/Lenovo-ideapad-100s-Chromebook-80QN0009US/dp/B014MIBQXA%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB014MIBQXA,137.99,621
889894330611,889894330611,http://ecx.images-amazon.com/images/I/41fgiNdEYpL.jpg,http://www.amazon.com/HP-Stream-13-3-Inch-Celeron-Personal/dp/B015CQ8PNA%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015CQ8PNA,229.99,266
889894330871,889894330871,http://ecx.images-amazon.com/images/I/41XsUMBnVqL.jpg,http://www.amazon.com/HP-Pavilion-13-s120nr-13-3-Inch-Convertible/dp/B015A9Z25S%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015A9Z25S,427.99,1119
889296019626,889296019626,http://ecx.images-amazon.com/images/I/417TpuuJM2L.jpg,http://www.amazon.com/x040nr-Chrome-2GB-16GB-Ref/dp/B00VGCLGR2%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00VGCLGR2,491.8,68468
888863051021,888863051021,http://ecx.images-amazon.com/images/I/51uprbgQjHL.jpg,http://www.amazon.com/Acer-Chromebook-C910-C453-15-6-inch-Celeron/dp/B00T0QZL40%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00T0QZL40,299.99,7402
190576355533,190576355533,http://ecx.images-amazon.com/images/I/51BtREcssnL.jpg,http://www.amazon.com/Lenovo-Yoga-710-14-i5-6200U/dp/B01H8XXWNI%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01H8XXWNI,1013.99,
887899794414,887899794414,http://ecx.images-amazon.com/images/I/515WminzHTL.jpg,http://www.amazon.com/Acer-Chromebook13-CB5-311-T9B0-13-3-inch-NVIDIA/dp/B00NC088EA%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00NC088EA,259.99,2725
889349194133,889349194133,http://ecx.images-amazon.com/images/I/41c9BPO40VL.jpg,http://www.amazon.com/Asus-X553SA-BHCLN10-Celeron-Processor-Windows/dp/B018DYW7VE%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB018DYW7VE,254.1,1140
888462109765,888462109765,http://ecx.images-amazon.com/images/I/41Y9vlNyudL.jpg,http://www.amazon.com/Apple-MacBook-MJVE2LL-13-inch-Laptop/dp/B00UGEBB94%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00UGEBB94,949.0,1173
888462341677,616348081672,http://ecx.images-amazon.com/images/I/41ksIEly8SL.jpg,http://www.amazon.com/Apple-MJVM2LL-11-6-Inch-Integrated-Graphics/dp/B00UGE8RXC%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00UGE8RXC,849.0,1842
889349161753,889349161753,http://ecx.images-amazon.com/images/I/41RrOVqFQuL.jpg,http://www.amazon.com/Transformer-T100HA-C4-GR-10-1-Inch-Touchscreen-Quad-Core/dp/B014854RGK%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB014854RGK,269.95,189
888863413942,888863413942,http://ecx.images-amazon.com/images/I/51sfCBP8u7L.jpg,http://www.amazon.com/Acer-VN7-792G-75RU-Notebook-Computer-i7-6700HQ/dp/B017KWCZXA%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB017KWCZXA,1070.0,9838
884116204084,884116204084,http://ecx.images-amazon.com/images/I/419DWJfUXuL.jpg,http://www.amazon.com/Dell-i7559-7512GRY-Touchscreen-Generation-Processor/dp/B015PZ0EHS%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015PZ0EHS,1199.0,849
