,upc,sku
1,8.87899E+11,259193368
2,7.22571E+11,278762979
3,8.89349E+11,284239063
4,8.87276E+11,293307847
7,8.86228E+11,291846042
9,8.89349E+11,281153225
10,8.50525E+11,291704632
11,8.87111E+11,233078313
15,8.88863E+11,294598209
16,8.89894E+11,287025553
17,8.879E+11,282264155
18,8.28064E+11,289412780
19,8.879E+11,269278245
20,8.84116E+11,297509071
22,8.88863E+11,286103940
23,8.87276E+11,276121320
24,8.88863E+11,292342603
25,8.84116E+11,278005316
26,8.89801E+11,287198969
27,1.90152E+11,293610521
28,8.88863E+11,286953639
29,1.90152E+11,293610517
30,8.87276E+11,293307861
31,8.88794E+11,284160076
32,8.88794E+11,281810193
33,8.88864E+11,290558326
37,8.89955E+11,292338362
39,8.87276E+11,270777035
40,6.9686E+11,288752367
44,8.84116E+11,276661920
45,8.84116E+11,292343222
46,8.879E+11,270277485
47,12303838556,259193368
48,8.88183E+11,265018782
49,8.8001E+11,296849119
51,8.89894E+11,284134415
53,8.88793E+11,268857763
54,8.89895E+11,288779471
55,8.89894E+11,287018263
57,8.88793E+11,281269267
60,8.89349E+11,294678984
62,8.87899E+11,265055112
63,8.88794E+11,270188595
66,8.89349E+11,281153230
67,8.89234E+11,277080973
69,8.89894E+11,287767369
70,8.89894E+11,287767325
71,7.00444E+11,268592944
72,7.19193E+11,283395083
73,8.89234E+11,277731378
76,8.89234E+11,280200574
78,8.84116E+11,294065957
79,8.89801E+11,287000102
80,8.86228E+11,275023497
85,8.86228E+11,272726127
86,7.25184E+11,283842835
88,8.89894E+11,293262489
89,8.88794E+11,270188593
92,8.86228E+11,277228170
94,8.89349E+11,289332542
95,8.88794E+11,295866898
96,8.879E+11,272879941
97,8.28063E+11,282462040
98,8.879E+11,275620684
99,8.89895E+11,287770813
106,7.94193E+11,250173439
107,8.89349E+11,285570456
108,8.89349E+11,283433397
109,8.84116E+11,278005302
111,8.89349E+11,288190708
114,8.89349E+11,288190709
115,8.89895E+11,288293385
116,8.89349E+11,294763619
117,8.89801E+11,286066097
120,8.86228E+11,262949987
124,22265915486,278470021
125,8.879E+11,275311157
129,8.89955E+11,292343312
130,8.89349E+11,286994917
131,8.89234E+11,277653910
132,22265863312,270481138
133,8.89349E+11,294506728
134,8.879E+11,268363679
137,8.89894E+11,285905224
138,8.89899E+11,293655848
139,22265866290,270803110
140,8.87759E+11,292341967
142,8.86228E+11,270969788
145,8.88794E+11,281408624
148,8.21271E+11,288891419
152,8.879E+11,276980493
156,8.86228E+11,285915944
157,8.86228E+11,255112973
159,8.89349E+11,288190839
160,8.89661E+11,288361202
162,1.90152E+11,293391478
163,8.879E+11,276980490
164,8.88863E+11,292338681
166,8.879E+11,285914193
176,8.88864E+11,290556520
177,8.879E+11,272446257
180,7.87468E+11,292335129
181,8.84116E+11,278005331
182,8.89956E+11,287725640
185,8.88864E+11,293753950
187,8.84116E+11,282264035
188,8.84116E+11,287496130
190,92281801216,209084669
191,8.89895E+11,288647532
193,22265863282,270481155
195,8.84116E+11,292334591
199,8.86228E+11,271838118
202,8.84116E+11,283405383
203,8.86228E+11,277228162
206,8.879E+11,276113813
207,8.89349E+11,292333645
209,1.90152E+11,293391425
210,1.90152E+11,293391424
211,8.88794E+11,283162806
212,8.89661E+11,284120127
213,8.88863E+11,293832257
214,8.88794E+11,270955495
217,8.89894E+11,285643467
220,8.88773E+11,265353334
223,8.86228E+11,270607134
226,8.86228E+11,292336478
230,8.86228E+11,265035733
232,8.88794E+11,289337092
234,8.89234E+11,283671533
235,8.89561E+11,277569950
236,8.86228E+11,282972402
237,8.88863E+11,296821883
238,8.89894E+11,284133198
239,8.86228E+11,291849787
244,8.88864E+11,294143986
247,8.88863E+11,291142153
249,8.89894E+11,293745026
251,8.89234E+11,292336314
254,8.86228E+11,276487222
258,8.88863E+11,292340740
261,8.88794E+11,271886097
262,8.86228E+11,294490206
263,8.88794E+11,272210158
264,8.89297E+11,292332823
266,8.89894E+11,293559289
267,8.86228E+11,268946186
269,8.86228E+11,292336472
272,8.86228E+11,259910289
273,8.86228E+11,285916247
274,8.89895E+11,288372471
275,8.89894E+11,284575841
276,8.84116E+11,292620295
277,8.88863E+11,293832264
279,8.88863E+11,280917167
280,8.89349E+11,280934875
281,8.89297E+11,282211192
284,8.89349E+11,294506727
285,8.88864E+11,293753903
287,8.86228E+11,271381869
288,8.12177E+11,277578759
289,7.95962E+11,292335033
293,8.88863E+11,287010761
294,8.879E+11,267481625
295,6.62725E+11,229198842
302,8.89895E+11,294355999
303,8.88863E+11,290660117
305,8.89899E+11,293655838
306,8.87899E+11,260245288
308,8.86228E+11,268762778
309,8.84116E+11,265607807
310,8.89894E+11,292333709
311,8.88794E+11,291465200
312,8.88182E+11,269337587
313,8.88863E+11,284118218
315,8.89349E+11,295819919
318,22265803295,292338476
319,8.879E+11,264816820
320,8.86228E+11,285927349
322,8.88182E+11,255960723
328,8.89894E+11,287645041
332,8.89296E+11,292334121
334,8.89296E+11,292333869
336,8.13567E+11,281396367
344,8.86228E+11,271382043
345,8.87899E+11,261081849
351,8.89349E+11,283842922
354,8.89028E+11,294505900
356,22265962862,279342970
357,8.86228E+11,261157636
358,22265593561,285914901
359,8.89234E+11,295866922
360,8.89894E+11,285532892
362,8.86228E+11,260026933
364,8.84116E+11,267421691
368,8.88794E+11,292332801
372,8.879E+11,270480585
374,6.80474E+11,278629564
376,8.88863E+11,292337586
379,8.88863E+11,287766092
380,8.89297E+11,280521932
381,8.88793E+11,295866930
382,8.89801E+11,285867380
385,8.88863E+11,277111440
386,8.88794E+11,292333748
388,8.89894E+11,285009981
395,8.88794E+11,271886242
396,8.89661E+11,284120069
397,8.86228E+11,264022437
400,7.8692E+11,292340640
401,8.86228E+11,281872824
402,8.88864E+11,295877435
403,8.88864E+11,290195595
406,8.88864E+11,290195552
408,8.88863E+11,280917179
410,8.88793E+11,265059884
412,8.88632E+11,268557075
413,8.89801E+11,292141919
414,8.88794E+11,292334087
417,8.88863E+11,294118866
418,8.89801E+11,285643406
419,8.88864E+11,290195587
420,8.88864E+11,290195574
423,7.35858E+11,276883150
426,8.84116E+11,292336521
427,8.89894E+11,288375735
429,8.86228E+11,292335432
431,8.879E+11,271838125
433,8.879E+11,265607810
436,8.88864E+11,290663870
438,8.89955E+11,289208928
444,8.88864E+11,290195559
445,22265896495,285916194
446,8.87899E+11,258369672
447,8.898E+11,292336174
449,8.86228E+11,292339862
450,8.89233E+11,276650639
453,8.879E+11,276319272
454,22265965832,292341341
455,8.89895E+11,294785523
456,8.88864E+11,292051292
457,8.89296E+11,285726865
458,8.86228E+11,254174065
460,8.89895E+11,291690687
461,8.89234E+11,279188096
464,8.84116E+11,270617640
466,8.88794E+11,270163053
467,8.88772E+11,265461409
468,8.89233E+11,276888787
469,8.88793E+11,292333222
471,8.88863E+11,289116065
475,8.89233E+11,276476316
481,8.88793E+11,285928523
484,22265927892,285570946
485,8.89894E+11,297509655
486,8.87899E+11,260974729
487,8.88863E+11,277111445
488,8.84116E+11,276661931
491,8.84116E+11,292341267
494,8.879E+11,277111437
497,8.84116E+11,268141845
498,8.85909E+11,210459854
499,8.89297E+11,281800383
500,8.88863E+11,292342371
501,8.89894E+11,292333710
503,8.89349E+11,287875108
504,8.88794E+11,292340823
505,8.88793E+11,275597008
506,8.89296E+11,292333392
511,8.89297E+11,282382881
513,8.88864E+11,290195575
520,1.90152E+11,293243696
522,1.90152E+11,294600069
526,12304220725,260974729
527,81159921040,292339479
528,8.86228E+11,270607159
529,8.86228E+11,276845668
531,8.89349E+11,292074460
532,8.89561E+11,292336718
534,8.84116E+11,288034951
535,7.25184E+11,283973931
536,8.84116E+11,270725172
538,8.88863E+11,284926815
539,8.87899E+11,260974726
540,8.879E+11,276427107
541,22265896815,277142694
547,8.89899E+11,294123181
548,9.44414E+11,270095410
553,8.40135E+11,272813888
558,8.84116E+11,291909703
561,8.89801E+11,292338315
563,8.88863E+11,283352783
564,8.88794E+11,283131010
566,8.88772E+11,270690550
569,7.38677E+11,292334337
570,8.88182E+11,257571505
571,8.84116E+11,292338496
572,8.88863E+11,284930957
573,8.879E+11,270095399
574,8.88794E+11,277388601
575,8.89296E+11,288382831
576,8.879E+11,285928044
577,8.879E+11,276347713
579,8.89801E+11,286066200
581,8.89899E+11,294033426
585,8.88863E+11,283592185
587,8.88863E+11,288389790
588,8.88863E+11,288389791
589,8.88863E+11,288389762
591,8.879E+11,275311136
592,8.89895E+11,288371972
593,8.84116E+11,292335808
595,8.89661E+11,292339794
598,8.87173E+11,292340099
600,12300268271,260974726
603,8.88863E+11,288389771
609,8.89894E+11,292334043
612,8.89234E+11,277653936
614,8.88794E+11,268807377
615,8.879E+11,270277484
617,8.84116E+11,294949614
618,8.89234E+11,277653984
619,8.89349E+11,287017265
620,8.88793E+11,265486531
621,8.86228E+11,283017565
624,8.88864E+11,297436858
625,8.88182E+11,269348856
626,8.879E+11,269250106
627,22265951361,282570693
629,22265892862,292334874
630,8.89801E+11,292340152
