,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
3380,8.90E+11,293793641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,8.89E+11,277229250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,8.90E+11,285662179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,8.84E+11,293655840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,8.89E+11,276905559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V0009US,T450,Lenovo,8 GB,DDR3L SDRAM,ThinkPad T450 20BV0009USLithium Polymer BatteryAC AdapterWindows 8.1 Pro 64 License Media,Yes,EPEAT Gold /  RoHS /  GREENGUARD /  ENERGY STAR 6.1,Yes,Yes,IEEE 802.11ac,3.81 lb,Black,"0.8""","13.4""","9.2""",No,180 GB,2.30 GHz,Core i5,i5-5300U,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,3 Year,Yes,,No,
3385,8.90E+11,285662179,Lenovo Americas,,20DL0078US,285662179,889800479472,00889800479472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,8.84E+11,293655840,Dell Commercial,,45RVC,293655840,884116212294,00884116212294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,8.89E+11,276905559,HP INC. - SB NOTEBOOKS,,L4A25UT#ABA,276905559,889296235170,00889296235170,Lithium Polymer (Li-Polymer),3-cell,,,,,Yes,4,4,16:9,1366 x 768,"15.6""",Intel,HD Graphics 5500,DDR3 SDRAM,Shared,,Notebook,L4A25UT#ABA,HP Inc.,,EliteBook 850 G2 Notebook PC (ENERGY STAR),850 G2,HP,8 GB,DDR3L SDRAM,EliteBook 850 G2 Notebook PC (ENERGY STAR)Lithium Polymer BatteryAC AdapterWindows 8.1 Pro License Media,Yes,ENERGY STAR /  RoHS /  WEEE /  EU WEEE /  IT Eco Declaration /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n/ac,4.03 lb,Black,"0.8""","14.8""","10""",No,,2.60 GHz,Core i7,i7-5600U,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro (English),64-bit,Windows,3 Year,Yes,,No,
3390,8.89E+11,271279645,HP INC. - SB MOBILE WKS,,K4K37UT#ABA,271279645,888793822449,00888793822449,Lithium Ion (Li-Ion),8-cell,,,,,Yes,4,3,16:9,1600 x 900,"17.3""",NVIDIA,Quadro K1100M,GDDR5,Dedicated,,Mobile Workstation,K4K37UT#ABA,HP Inc.,,ZBook 17 G2 Mobile Workstation (ENERGY STAR),17 G2,HP,8 GB,DDR3L SDRAM,ZBook 17 G2 Mobile Workstation (ENERGY STAR)Lithium Ion BatteryAC AdapterWindows 8.1 Pro License Media,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n/ac,7.41 lb,,"1.3""","16.4""","10.7""",DVD-Writer,,2.60 GHz,Core i5,i5-4210M,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,3 Year,Yes,,No,
