,upc
3380,889661133742
3381,889233133446
3382,811842025003
3383,190404122986
3384,755296150051
3385,889800479472
3386,16102349428
3387,884116212294
3388,889296235170
3389,884116164982
3390,888793822449
3391,888182266342
3392,887899990021
3393,889894777331
3394,885170204782
3395,888793229514
3396,884116166276
3397,889296180944
3398,889842068030
3399,889661133780
3400,884116147886
3401,885909851546
3402,884116183235
3403,811254027329
3404,889842015034
3405,22265927908
3406,884116169222
3407,811842031509
3408,700667784489
3409,190404027007
3410,611343099899
3411,190151210394
3412,886227763474
3413,889894869388
3414,886227678327
3415,814926020161
3416,888793817834
3417,885909630899
3418,885170225800
3419,889894907684
3420,888228536255
3421,888793557181
3422,884116229537
3423,889899390870
3424,813567022282
3425,889349393987
3426,889800522338
3427,889233113516
3428,884116165361
3429,889233098981
3430,886227991013
3431,889955090836
3432,887276088808
3433,811842033886
3434,844750021201
3435,844750021218
3436,888863333004
3437,884116165637
3438,824142128893
3439,885170228627
3440,886227777211
3441,793889065535
3442,889894869593
3443,190151850354
3444,811842031486
3445,886227850099
3446,889894316035
3447,889894149657
3448,889561312483
3449,889894907660
3450,727180703766
3451,889296257752
3452,811842025010
3453,888182289051
3454,888965665591
3455,889233302941
3456,889233304044
3457,884116228912
3458,889894967220
3459,889296180982
3460,889899048542
3461,611343097390
3462,889296723646
3463,887899990038
3464,888863657629
3465,889233108703
3466,889233543320
3467,889233098998
3468,889800473647
3469,888772782375
3470,888793817858
3471,889894323071
3472,885909937424
3473,824142113318
3474,811842025027
3475,884116105718
3476,813567022251
3477,886227948086
3478,814926020024
3479,889661082934
3480,889349232521
3481,889349156506
3482,822088070511
3483,96633380732
3484,889894339010
3485,888965588241
